,Ship Mode,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,state,Postal Code,Sales,Quantity,Discount,Profit,year,id,order date,oder month,order year,ship date,custome ID,ProductId,differnt
18,2.0,792.0,0.0,0.0,438.0,3.0,3.0,1.0,2.0,1148.0,291.0,84084,55.5,2,0.0,9.99,2011,167164,13,05,2011,15,10270,10000107,-2
19,2.0,792.0,0.0,0.0,438.0,3.0,3.0,2.0,13.0,435.0,291.0,94109,8.56,2,0.0,2.4824,2011,143336,27,08,2011,1,21925,10003056,26
20,2.0,792.0,0.0,0.0,438.0,3.0,3.0,1.0,3.0,1624.0,291.0,94109,213.48,3,0.2,16.011,2011,143336,27,08,2011,1,21925,10001949,26
21,3.0,437.0,1.0,0.0,158.0,25.0,0.0,1.0,2.0,1122.0,142.0,94109,22.72,4,0.2,7.384,2011,143336,27,08,2011,1,21925,10002215,26
22,3.0,437.0,1.0,0.0,158.0,25.0,0.0,1.0,1.0,77.0,142.0,68025,19.46,7,0.0,5.0596,2013,137330,10,12,2013,14,16585,10000246,-4
23,2.0,669.0,0.0,0.0,374.0,36.0,1.0,0.0,5.0,744.0,246.0,68025,60.34,7,0.0,15.6884,2013,137330,10,12,2013,14,16585,10001492,-4
24,3.0,256.0,0.0,0.0,351.0,42.0,3.0,0.0,16.0,365.0,74.0,19140,71.372,2,0.3,-1.0196,2014,156909,17,07,2014,19,20065,10002774,-2
25,2.0,261.0,0.0,0.0,266.0,3.0,3.0,1.0,3.0,1615.0,78.0,84057,1044.63,3,0.0,240.2649,2012,106320,25,09,2012,30,13870,10000577,-5
26,2.0,261.0,0.0,0.0,266.0,3.0,3.0,2.0,0.0,912.0,78.0,90049,11.648,2,0.2,4.2224,2013,121755,16,01,2013,20,13945,10001634,-4
27,3.0,765.0,0.0,0.0,374.0,36.0,1.0,0.0,4.0,1349.0,264.0,90049,90.57,3,0.0,11.7741,2013,121755,16,01,2013,20,13945,10003027,-4
28,3.0,765.0,0.0,0.0,374.0,36.0,1.0,1.0,3.0,264.0,264.0,19140,3083.43,7,0.5,-1665.0522,2012,150630,17,09,2012,21,21520,10004834,-4
29,3.0,765.0,0.0,0.0,374.0,36.0,1.0,0.0,9.0,879.0,264.0,19140,9.618,2,0.7,-7.0532,2012,150630,17,09,2012,21,21520,10000474,-4
30,3.0,765.0,0.0,0.0,374.0,36.0,1.0,1.0,7.0,1282.0,264.0,19140,124.2,3,0.2,15.525,2012,150630,17,09,2012,21,21520,10004848,-4
31,3.0,765.0,0.0,0.0,374.0,36.0,1.0,1.0,2.0,278.0,264.0,19140,3.264,2,0.2,1.1016,2012,150630,17,09,2012,21,21520,10001509,-4
32,3.0,765.0,0.0,0.0,374.0,36.0,1.0,1.0,3.0,72.0,264.0,19140,86.304,6,0.2,9.7092,2012,150630,17,09,2012,21,21520,10004042,-4
33,3.0,765.0,0.0,0.0,374.0,36.0,1.0,1.0,2.0,1029.0,264.0,19140,6.858,6,0.7,-5.715,2012,150630,17,09,2012,21,21520,10001525,-4
34,2.0,502.0,2.0,0.0,207.0,41.0,0.0,1.0,12.0,1491.0,169.0,19140,15.76,2,0.2,3.546,2012,150630,17,09,2012,21,21520,10001683,-4
35,0.0,297.0,1.0,0.0,406.0,41.0,0.0,2.0,13.0,723.0,99.0,77095,29.472,3,0.2,9.9468,2014,107727,20,10,2014,24,17560,10000249,-4
36,0.0,297.0,1.0,0.0,406.0,41.0,0.0,0.0,9.0,591.0,99.0,75080,1097.544,7,0.2,123.4737,2013,117590,9,12,2013,11,14485,10004977,-2
37,3.0,712.0,2.0,0.0,207.0,41.0,0.0,1.0,7.0,6.0,253.0,75080,190.92,5,0.6,-147.963,2013,117590,9,12,2013,11,14485,10003664,-2
38,3.0,712.0,2.0,0.0,207.0,41.0,0.0,0.0,4.0,166.0,253.0,77041,113.328,9,0.2,35.415,2012,117415,27,12,2012,31,20710,10002986,-4
39,3.0,712.0,2.0,0.0,207.0,41.0,0.0,0.0,5.0,750.0,253.0,77041,532.3992,3,0.32,-46.9764,2012,117415,27,12,2012,31,20710,10002545,-4
40,3.0,712.0,2.0,0.0,207.0,41.0,0.0,2.0,13.0,1271.0,253.0,77041,212.058,3,0.3,-15.147,2012,117415,27,12,2012,31,20710,10004218,-4
41,3.0,460.0,1.0,0.0,321.0,11.0,0.0,2.0,13.0,1242.0,156.0,77041,371.168,4,0.2,41.7564,2012,117415,27,12,2012,31,20710,10000486,-4
42,3.0,657.0,1.0,0.0,266.0,3.0,3.0,1.0,14.0,554.0,226.0,60540,147.168,4,0.2,16.5564,2014,120999,11,09,2014,16,16930,10004093,-5
43,3.0,270.0,1.0,0.0,288.0,8.0,2.0,1.0,14.0,114.0,86.0,90049,77.88,2,0.0,3.894,2013,101343,18,07,2013,23,19885,10003479,-5
44,0.0,579.0,1.0,0.0,129.0,21.0,0.0,2.0,0.0,1589.0,205.0,32935,95.616,2,0.2,9.5616,2014,139619,20,09,2014,24,14080,10003282,-4
45,0.0,579.0,1.0,0.0,129.0,21.0,0.0,1.0,3.0,1628.0,205.0,55122,45.98,2,0.0,19.7714,2013,118255,12,03,2013,14,18715,10000171,-2
46,2.0,589.0,0.0,0.0,516.0,20.0,0.0,1.0,14.0,774.0,218.0,55122,17.46,2,0.0,8.2062,2013,118255,12,03,2013,14,18715,10003291,-2
47,3.0,458.0,0.0,0.0,124.0,6.0,1.0,2.0,0.0,913.0,160.0,48185,211.96,4,0.0,8.4784,2011,146703,20,10,2011,25,18865,10001713,-5
48,3.0,458.0,0.0,0.0,124.0,6.0,1.0,2.0,13.0,965.0,160.0,19901,45.0,3,0.0,4.95,2013,169194,21,06,2013,26,16900,10002167,-5
49,3.0,198.0,0.0,0.0,324.0,12.0,0.0,1.0,3.0,393.0,66.0,19901,21.8,2,0.0,6.104,2013,169194,21,06,2013,26,16900,10003988,-5
50,3.0,198.0,0.0,0.0,324.0,12.0,0.0,1.0,10.0,191.0,66.0,47150,38.22,6,0.0,17.9634,2012,115742,18,04,2012,22,13000,10004410,-4
51,3.0,198.0,0.0,0.0,324.0,12.0,0.0,0.0,9.0,1027.0,66.0,47150,75.18,6,0.0,35.3346,2012,115742,18,04,2012,22,13000,10002762,-4
52,3.0,198.0,0.0,0.0,324.0,12.0,0.0,0.0,5.0,758.0,66.0,47150,6.16,2,0.0,2.9568,2012,115742,18,04,2012,22,13000,10001706,-4
53,3.0,349.0,1.0,0.0,329.0,30.0,1.0,1.0,8.0,121.0,135.0,47150,89.99,1,0.0,17.0981,2012,115742,18,04,2012,22,13000,10003061,-4
54,3.0,349.0,1.0,0.0,329.0,30.0,1.0,2.0,13.0,42.0,135.0,10024,15.26,7,0.0,6.2566,2013,105816,12,12,2013,18,15265,10000304,-6
55,0.0,735.0,0.0,0.0,488.0,30.0,1.0,1.0,14.0,822.0,264.0,10024,1029.95,5,0.0,298.6855,2013,105816,12,12,2013,18,15265,10002447,-6
56,0.0,735.0,0.0,0.0,488.0,30.0,1.0,1.0,12.0,1821.0,264.0,12180,208.56,6,0.0,52.14,2013,111682,18,06,2013,19,21055,10000604,-1
57,0.0,735.0,0.0,0.0,488.0,30.0,1.0,0.0,5.0,1172.0,264.0,12180,32.4,5,0.0,15.552,2013,111682,18,06,2013,19,21055,10001569,-1
58,0.0,735.0,0.0,0.0,488.0,30.0,1.0,1.0,12.0,158.0,264.0,12180,319.41,5,0.1,7.098,2013,111682,18,06,2013,19,21055,10003968,-1
59,0.0,735.0,0.0,0.0,488.0,30.0,1.0,2.0,0.0,913.0,264.0,12180,14.56,2,0.0,6.9888,2013,111682,18,06,2013,19,21055,10000587,-1
60,0.0,735.0,0.0,0.0,488.0,30.0,1.0,1.0,3.0,1278.0,264.0,12180,30.0,2,0.0,3.3,2013,111682,18,06,2013,19,21055,10002167,-1
61,0.0,735.0,0.0,0.0,488.0,30.0,1.0,1.0,2.0,1296.0,264.0,12180,48.48,4,0.2,16.362,2013,111682,18,06,2013,19,21055,10001460,-1
62,3.0,446.0,0.0,0.0,266.0,3.0,3.0,2.0,0.0,1590.0,149.0,12180,1.68,1,0.0,0.84,2013,111682,18,06,2013,19,21055,10001868,-1
63,3.0,446.0,0.0,0.0,266.0,3.0,3.0,1.0,3.0,65.0,149.0,90004,13.98,2,0.0,6.1512,2012,135545,24,11,2012,30,16720,10004633,-6
64,3.0,446.0,0.0,0.0,266.0,3.0,3.0,1.0,12.0,1722.0,149.0,90004,25.824,6,0.2,9.3612,2012,135545,24,11,2012,30,16720,10001078,-6
65,3.0,446.0,0.0,0.0,266.0,3.0,3.0,0.0,9.0,1032.0,149.0,90004,146.73,3,0.0,68.9631,2012,135545,24,11,2012,30,16720,10003892,-6
66,3.0,596.0,2.0,0.0,80.0,11.0,0.0,0.0,5.0,768.0,221.0,90004,79.76,4,0.0,22.3328,2012,135545,24,11,2012,30,16720,10000397,-6
67,3.0,105.0,1.0,0.0,166.0,1.0,3.0,1.0,2.0,883.0,30.0,60610,213.115,5,0.3,-15.2225,2012,164175,30,04,2012,5,18970,10001146,25
68,3.0,105.0,1.0,0.0,166.0,1.0,3.0,2.0,13.0,1840.0,30.0,85234,1113.024,8,0.2,111.3024,2011,106376,5,12,2011,10,11590,10002671,-5
69,0.0,416.0,0.0,0.0,464.0,44.0,2.0,1.0,12.0,1454.0,144.0,85234,167.968,4,0.2,62.988,2011,106376,5,12,2011,10,11590,10002726,-5
70,3.0,330.0,0.0,0.0,329.0,30.0,1.0,1.0,3.0,234.0,116.0,22153,75.88,2,0.0,35.6636,2013,119823,5,06,2013,7,16270,10000482,-2
71,2.0,765.0,0.0,0.0,215.0,20.0,0.0,1.0,12.0,1521.0,264.0,10009,4.616,1,0.2,1.731,2013,106075,19,09,2013,24,14980,10004654,-5
72,3.0,381.0,0.0,0.0,289.0,40.0,2.0,0.0,5.0,812.0,128.0,49201,19.05,3,0.0,8.763,2014,114440,15,09,2014,18,21520,10004675,-3
73,3.0,381.0,0.0,0.0,289.0,40.0,2.0,0.0,9.0,1537.0,128.0,38109,831.936,8,0.2,-114.3912,2012,134026,26,04,2012,2,15745,10000513,24
74,3.0,381.0,0.0,0.0,289.0,40.0,2.0,1.0,14.0,1380.0,128.0,38109,97.04,2,0.2,1.213,2012,134026,26,04,2012,2,15745,10003708,24
75,0.0,438.0,1.0,0.0,207.0,41.0,0.0,1.0,3.0,540.0,142.0,38109,72.784,1,0.2,-18.196,2012,134026,26,04,2012,2,15745,10004123,24
76,0.0,438.0,1.0,0.0,207.0,41.0,0.0,0.0,9.0,29.0,142.0,77041,1.248,3,0.8,-1.9344,2014,118038,10,12,2014,12,16600,10004182,-2
77,0.0,438.0,1.0,0.0,207.0,41.0,0.0,1.0,14.0,1447.0,142.0,77041,9.708,3,0.6,-5.8248,2014,118038,10,12,2014,12,16600,10000260,-2
78,2.0,381.0,0.0,0.0,207.0,41.0,0.0,0.0,9.0,562.0,128.0,77041,27.24,3,0.2,2.724,2014,118038,10,12,2014,12,16600,10000615,-2
79,0.0,716.0,1.0,0.0,116.0,0.0,2.0,1.0,1.0,8.0,243.0,77070,19.3,5,0.6,-14.475,2011,147606,26,11,2011,1,15745,10003194,25
80,0.0,716.0,1.0,0.0,116.0,0.0,2.0,1.0,3.0,246.0,243.0,35601,208.16,1,0.0,56.2032,2013,127208,13,06,2013,16,20770,10002118,-3
81,3.0,244.0,0.0,0.0,438.0,3.0,3.0,1.0,2.0,1302.0,64.0,35601,16.74,3,0.0,8.0352,2013,127208,13,06,2013,16,20770,10002309,-3
82,3.0,244.0,0.0,0.0,438.0,3.0,3.0,1.0,14.0,1464.0,64.0,94122,14.9,5,0.0,4.172,2011,139451,12,10,2011,16,13690,10002053,-4
83,3.0,405.0,1.0,0.0,128.0,31.0,2.0,1.0,7.0,938.0,126.0,94122,21.39,1,0.0,6.2031,2011,139451,12,10,2011,16,13690,10002370,-4
84,0.0,158.0,2.0,0.0,80.0,11.0,0.0,1.0,14.0,1379.0,46.0,27707,200.984,7,0.2,62.8075,2012,149734,3,09,2012,8,16105,10000927,-5
85,2.0,589.0,0.0,0.0,93.0,38.0,2.0,0.0,5.0,1171.0,218.0,60623,230.376,3,0.2,-48.9549,2014,119662,14,11,2014,17,12400,10003656,-3
86,3.0,591.0,0.0,0.0,410.0,21.0,0.0,2.0,0.0,1021.0,211.0,29203,301.96,2,0.0,33.2156,2014,140088,29,05,2014,31,18865,10000863,-2
87,3.0,591.0,0.0,0.0,410.0,21.0,0.0,1.0,10.0,220.0,211.0,55901,19.99,1,0.0,6.7966,2014,155558,27,10,2014,3,18895,10001998,24
88,2.0,295.0,2.0,0.0,207.0,41.0,0.0,1.0,14.0,580.0,101.0,55901,6.16,2,0.0,2.9568,2014,155558,27,10,2014,3,18895,10000134,24
89,3.0,377.0,1.0,0.0,266.0,3.0,3.0,1.0,2.0,1570.0,139.0,77095,158.368,7,0.2,13.8572,2013,159695,6,04,2013,11,14455,10003442,-5
90,3.0,377.0,1.0,0.0,266.0,3.0,3.0,2.0,13.0,1242.0,139.0,90036,20.1,3,0.0,6.633,2013,109806,18,09,2013,23,15685,10004930,-5
91,3.0,377.0,1.0,0.0,266.0,3.0,3.0,1.0,12.0,1778.0,139.0,90036,73.584,2,0.2,8.2782,2013,109806,18,09,2013,23,15685,10004093,-5
92,2.0,419.0,0.0,0.0,300.0,21.0,0.0,1.0,12.0,1782.0,142.0,90036,6.48,1,0.0,3.1104,2013,109806,18,09,2013,23,15685,10000304,-5
93,2.0,419.0,0.0,0.0,300.0,21.0,0.0,0.0,9.0,1438.0,142.0,55407,12.96,2,0.0,6.2208,2012,149587,31,01,2012,5,16315,10003177,26
94,2.0,419.0,0.0,0.0,300.0,21.0,0.0,1.0,3.0,902.0,142.0,55407,53.34,3,0.0,16.5354,2012,149587,31,01,2012,5,16315,10003799,26
95,3.0,645.0,2.0,0.0,389.0,35.0,3.0,1.0,3.0,671.0,227.0,55407,32.96,2,0.0,16.1504,2012,149587,31,01,2012,5,16315,10002852,26
96,2.0,583.0,2.0,0.0,329.0,30.0,1.0,0.0,9.0,30.0,217.0,97206,5.682,1,0.7,-3.788,2014,109484,7,11,2014,13,19705,10004738,-6
97,0.0,421.0,0.0,0.0,438.0,3.0,3.0,1.0,3.0,1564.0,144.0,10009,96.53,7,0.0,40.5426,2014,161018,10,11,2014,12,18775,10000629,-2
98,3.0,255.0,1.0,0.0,427.0,21.0,0.0,1.0,1.0,635.0,85.0,94122,51.312,3,0.2,17.9592,2014,157833,18,06,2014,21,16345,10001721,-3
99,3.0,629.0,2.0,0.0,80.0,11.0,0.0,1.0,12.0,260.0,227.0,55106,77.88,6,0.0,22.5852,2013,149223,7,09,2013,12,13855,10000358,-5
100,3.0,629.0,2.0,0.0,80.0,11.0,0.0,2.0,0.0,1403.0,227.0,60610,64.624,7,0.2,22.6184,2013,158568,30,08,2013,3,19465,10003256,27
101,3.0,629.0,2.0,0.0,80.0,11.0,0.0,1.0,3.0,254.0,227.0,60610,95.976,3,0.2,-10.7973,2013,158568,30,08,2013,3,19465,10001767,27
102,2.0,296.0,0.0,0.0,410.0,21.0,0.0,1.0,12.0,1580.0,106.0,60610,1.788,3,0.8,-3.0396,2013,158568,30,08,2013,3,19465,10002609,27
103,3.0,456.0,0.0,0.0,24.0,4.0,3.0,2.0,0.0,1005.0,156.0,55901,23.92,4,0.0,11.7208,2013,129903,2,12,2013,5,14470,10004040,-3
104,3.0,456.0,0.0,0.0,24.0,4.0,3.0,0.0,9.0,510.0,156.0,80013,238.896,6,0.2,-26.8758,2012,156867,13,11,2012,17,16870,10001552,-4
105,3.0,456.0,0.0,0.0,24.0,4.0,3.0,1.0,3.0,269.0,156.0,80013,102.36,3,0.2,-3.8385,2012,156867,13,11,2012,17,16870,10004006,-4
106,3.0,348.0,0.0,0.0,74.0,31.0,2.0,2.0,0.0,1076.0,135.0,80013,36.882,3,0.7,-25.8174,2012,156867,13,11,2012,17,16870,10002794,-4
107,3.0,348.0,0.0,0.0,74.0,31.0,2.0,2.0,13.0,1476.0,135.0,28205,74.112,8,0.2,17.6016,2014,119004,24,11,2014,29,15250,10003499,-5
108,3.0,348.0,0.0,0.0,74.0,31.0,2.0,1.0,2.0,1160.0,135.0,28205,27.992,1,0.2,2.0994,2014,119004,24,11,2014,29,15250,10002844,-5
109,3.0,602.0,2.0,0.0,352.0,11.0,0.0,2.0,0.0,1019.0,207.0,28205,3.304,1,0.2,1.0738,2014,119004,24,11,2014,29,15250,10000390,-5
110,3.0,185.0,1.0,0.0,329.0,30.0,1.0,0.0,9.0,1038.0,48.0,60462,339.96,5,0.2,67.992,2012,129476,15,10,2012,20,19060,10000844,-5
111,3.0,169.0,0.0,0.0,494.0,13.0,0.0,1.0,2.0,886.0,42.0,10035,41.96,2,0.0,10.9096,2014,146780,26,12,2014,31,12805,10001934,-5
112,3.0,169.0,0.0,0.0,494.0,13.0,0.0,1.0,3.0,236.0,42.0,50322,75.96,2,0.0,22.788,2013,128867,4,11,2013,11,12565,10000380,-7
113,2.0,662.0,0.0,0.0,94.0,33.0,1.0,1.0,8.0,1195.0,228.0,50322,27.24,6,0.0,13.3476,2013,128867,4,11,2013,11,12565,10003981,-7
114,2.0,662.0,0.0,0.0,94.0,33.0,1.0,1.0,7.0,1338.0,228.0,43229,40.096,14,0.2,14.5348,2011,115259,25,08,2011,27,19960,10000621,-2
115,2.0,662.0,0.0,0.0,94.0,33.0,1.0,1.0,12.0,1698.0,228.0,43229,4.72,2,0.2,1.652,2011,115259,25,08,2011,27,19960,10002600,-2
116,2.0,662.0,0.0,0.0,94.0,33.0,1.0,1.0,7.0,1572.0,228.0,43229,23.976,3,0.2,7.4925,2011,115259,25,08,2011,27,19960,10004965,-2
117,3.0,204.0,0.0,0.0,452.0,45.0,3.0,0.0,16.0,852.0,61.0,43229,130.464,6,0.2,44.0316,2011,115259,25,08,2011,27,19960,10002504,-2
118,3.0,308.0,1.0,0.0,51.0,40.0,2.0,1.0,3.0,679.0,98.0,98103,787.53,3,0.0,165.3813,2012,110457,2,03,2012,6,13090,10001768,-4
119,0.0,713.0,0.0,0.0,521.0,6.0,1.0,0.0,9.0,159.0,243.0,37620,157.794,1,0.7,-115.7156,2012,136476,5,04,2012,10,14650,10003650,-5
120,0.0,713.0,0.0,0.0,521.0,6.0,1.0,1.0,3.0,498.0,243.0,19805,47.04,3,0.0,18.3456,2013,103730,13,06,2013,16,20725,10002157,-3
121,0.0,713.0,0.0,0.0,521.0,6.0,1.0,1.0,14.0,460.0,243.0,19805,30.84,4,0.0,13.878,2013,103730,13,06,2013,16,20725,10003910,-3
122,0.0,713.0,0.0,0.0,521.0,6.0,1.0,1.0,7.0,771.0,243.0,19805,226.56,6,0.0,63.4368,2013,103730,13,06,2013,16,20725,10000777,-3
123,0.0,713.0,0.0,0.0,521.0,6.0,1.0,2.0,13.0,942.0,243.0,19805,115.02,9,0.0,51.759,2013,103730,13,06,2013,16,20725,10002500,-3
124,2.0,11.0,2.0,0.0,207.0,41.0,0.0,0.0,5.0,741.0,3.0,19805,68.04,7,0.0,19.7316,2013,103730,13,06,2013,16,20725,10003875,-3
125,3.0,609.0,0.0,0.0,41.0,11.0,0.0,0.0,16.0,317.0,210.0,77041,600.558,3,0.3,-8.5794,2011,152030,26,12,2011,28,10180,10004063,-2
126,3.0,771.0,0.0,0.0,375.0,1.0,3.0,1.0,3.0,240.0,273.0,61701,617.7,6,0.5,-407.682,2011,134614,20,09,2011,25,19165,10004534,-5
127,3.0,771.0,0.0,0.0,375.0,1.0,3.0,1.0,14.0,1563.0,273.0,85023,2.388,2,0.7,-1.8308,2014,107272,6,11,2014,13,21610,10003274,-7
128,2.0,463.0,2.0,0.0,266.0,3.0,3.0,0.0,5.0,766.0,166.0,85023,243.992,7,0.2,30.499,2014,107272,6,11,2014,13,21610,10002974,-7
129,2.0,463.0,2.0,0.0,266.0,3.0,3.0,0.0,9.0,556.0,166.0,90004,81.424,2,0.2,-9.1602,2013,125969,7,11,2013,11,16975,10001146,-4
130,0.0,237.0,1.0,0.0,94.0,33.0,1.0,2.0,13.0,148.0,70.0,90004,238.56,3,0.0,26.2416,2013,125969,7,11,2013,11,16975,10003773,-4
131,0.0,237.0,1.0,0.0,94.0,33.0,1.0,1.0,12.0,1692.0,70.0,43229,59.97,5,0.4,-11.994,2014,164147,3,02,2014,6,13585,10002293,-3
132,0.0,237.0,1.0,0.0,94.0,33.0,1.0,1.0,8.0,1491.0,70.0,43229,78.304,2,0.2,29.364,2014,164147,3,02,2014,6,13585,10002377,-3
133,3.0,457.0,0.0,0.0,418.0,3.0,3.0,1.0,12.0,1729.0,156.0,43229,21.456,9,0.2,6.9732,2014,164147,3,02,2014,6,13585,10002780,-3
134,3.0,457.0,0.0,0.0,418.0,3.0,3.0,1.0,12.0,1653.0,156.0,95661,20.04,3,0.0,9.6192,2013,145583,14,10,2013,20,16885,10001804,-6
135,3.0,457.0,0.0,0.0,418.0,3.0,3.0,1.0,2.0,1405.0,156.0,95661,35.44,1,0.0,16.6568,2013,145583,14,10,2013,20,16885,10001736,-6
136,3.0,457.0,0.0,0.0,418.0,3.0,3.0,1.0,8.0,906.0,156.0,95661,11.52,4,0.0,3.456,2013,145583,14,10,2013,20,16885,10001149,-6
137,3.0,457.0,0.0,0.0,418.0,3.0,3.0,1.0,3.0,720.0,156.0,95661,4.02,2,0.0,1.9698,2013,145583,14,10,2013,20,16885,10002988,-6
138,3.0,457.0,0.0,0.0,418.0,3.0,3.0,1.0,15.0,668.0,156.0,95661,76.176,3,0.2,26.6616,2013,145583,14,10,2013,20,16885,10004781,-6
139,3.0,457.0,0.0,0.0,418.0,3.0,3.0,0.0,9.0,1027.0,156.0,95661,65.88,6,0.0,18.4464,2013,145583,14,10,2013,20,16885,10001218,-6
140,2.0,391.0,1.0,0.0,374.0,36.0,1.0,0.0,9.0,879.0,127.0,95661,43.12,14,0.0,20.6976,2013,145583,14,10,2013,20,16885,10001706,-6
141,3.0,663.0,1.0,0.0,438.0,3.0,3.0,1.0,2.0,1150.0,248.0,19140,82.8,2,0.2,10.35,2013,110366,6,09,2013,8,15895,10004848,-2
142,3.0,663.0,1.0,0.0,438.0,3.0,3.0,1.0,7.0,470.0,248.0,94122,8.82,3,0.0,2.3814,2014,106180,19,09,2014,24,19975,10000940,-5
143,3.0,663.0,1.0,0.0,438.0,3.0,3.0,1.0,12.0,1687.0,248.0,94122,10.86,3,0.0,5.1042,2014,106180,19,09,2014,24,19975,10004030,-5
144,3.0,670.0,0.0,0.0,210.0,23.0,0.0,1.0,1.0,1415.0,247.0,94122,143.7,3,0.0,68.976,2014,106180,19,09,2014,24,19975,10004327,-5
145,3.0,326.0,0.0,0.0,364.0,3.0,3.0,1.0,14.0,1379.0,107.0,64055,839.43,3,0.0,218.2518,2014,155376,23,12,2014,28,20080,10001058,-5
146,3.0,510.0,2.0,0.0,330.0,33.0,1.0,0.0,9.0,1440.0,175.0,91104,671.93,7,0.0,20.1579,2012,110744,7,09,2012,12,14920,10003656,-5
147,3.0,409.0,1.0,0.0,156.0,47.0,0.0,2.0,13.0,1269.0,128.0,43055,93.888,4,0.2,12.9096,2011,110072,22,10,2011,28,17680,10000521,-6
148,3.0,409.0,1.0,0.0,156.0,47.0,0.0,2.0,13.0,149.0,128.0,53132,384.45,11,0.0,103.8015,2013,114489,6,12,2013,10,16165,10000215,-4
149,3.0,409.0,1.0,0.0,156.0,47.0,0.0,0.0,5.0,837.0,128.0,53132,149.97,3,0.0,5.9988,2013,114489,6,12,2013,10,16165,10001448,-4
150,3.0,409.0,1.0,0.0,156.0,47.0,0.0,1.0,3.0,699.0,128.0,53132,1951.84,8,0.0,585.552,2013,114489,6,12,2013,10,16165,10000454,-4
151,0.0,733.0,2.0,0.0,451.0,1.0,3.0,1.0,1.0,295.0,275.0,53132,171.55,5,0.0,80.6285,2013,114489,6,12,2013,10,16165,10002735,-4
152,0.0,733.0,2.0,0.0,451.0,1.0,3.0,2.0,13.0,930.0,275.0,85254,157.92,5,0.2,17.766,2013,158834,14,03,2013,17,21025,10000326,-3
153,0.0,708.0,1.0,0.0,440.0,3.0,3.0,1.0,12.0,1467.0,255.0,85254,203.184,2,0.2,15.2388,2013,158834,14,03,2013,17,21025,10001254,-3
154,0.0,708.0,1.0,0.0,440.0,3.0,3.0,1.0,12.0,1656.0,255.0,95123,58.38,7,0.0,26.271,2012,124919,31,05,2012,2,20650,10001950,29
